city,neighbourhood,listings,price_mean,price_median,reviews_mean
sydney,Randwick,3346,188.1978481769277,120.0,0.4369157202630006
sydney,Rockdale,727,126.07290233837688,90.0,0.932585969738652
sydney,Ryde,575,110.9808695652174,84.0,0.7202260869565217
sydney,Strathfield,171,102.70760233918128,76.0,1.0049707602339182
sydney,Sutherland Shire,468,200.72649572649573,134.0,1.1580769230769232
sydney,Sydney,9238,175.22569820307424,138.0,1.167659666594501
sydney,The Hills Shire,260,157.80384615384617,84.0,0.7887692307692308
sydney,Warringah,1794,266.16778149386846,160.0,0.4117335562987737
sydney,Waverley,5466,243.37285034760336,150.0,0.4546597145993414
sydney,Willoughby,500,185.812,125.0,0.59738
sydney,Woollahra,1573,298.7927527018436,165.0,0.4845645263827082
tokyo,Adachi Ku,172,7664.186046511628,5972.0,1.0955813953488371
tokyo,Akiruno Shi,12,4895.75,4519.0,0.9633333333333334
tokyo,Akishima Shi,3,19153.33333333333,3874.0,0.83
tokyo,Arakawa Ku,279,12136.605734767025,9039.0,1.5634408602150538
tokyo,Bunkyo Ku,129,13656.98449612403,10007.0,2.465658914728682
tokyo,Chiyoda Ku,198,40924.34848484849,12482.0,1.3844444444444444
tokyo,Chofu Shi,11,9821.09090909091,6994.0,2.136363636363636
tokyo,Chuo Ku,448,15312.107142857143,12051.0,1.9720982142857144
tokyo,Edogawa Ku,201,11781.52736318408,8500.0,1.5633830845771144
tokyo,Fuchu Shi,4,12132.25,12374.5,2.1175
tokyo,Fussa Shi,5,6004.2,3443.0,0.906
tokyo,Hachijo Machi,7,10929.285714285714,14957.0,0.8714285714285713
tokyo,Hachioji Shi,37,53410.97297297297,6026.0,0.8240540540540541
tokyo,Hamura Shi,3,6241.0,6026.0,0.3333333333333333
tokyo,Higashikurume Shi,2,4250.0,4250.0,0.0
tokyo,Higashimurayama Shi,12,6483.0,4842.0,1.6875
tokyo,Higashiyamato Shi,1,3013.0,3013.0,4.18
tokyo,Hino Shi,16,4122.3125,2905.0,1.070625
tokyo,Hinohara Mura,2,27492.5,27492.5,0.74
tokyo,Inagi Shi,2,2744.0,2744.0,0.31
tokyo,Itabashi Ku,237,12827.29535864979,6994.0,1.830337552742616
tokyo,Katsushika Ku,280,11909.939285714288,9899.5,1.6535
tokyo,Kita Ku,217,11434.497695852537,7962.0,1.8333640552995392
tokyo,Kodaira Shi,8,4895.875,5057.5,1.46125
tokyo,Koganei Shi,4,7263.0,7263.0,2.11
tokyo,Kokubunji Shi,9,4818.0,4519.0,1.4388888888888889
tokyo,Komae Shi,6,14400.5,14042.0,2.81
tokyo,Koto Ku,152,12116.453947368422,9361.0,2.283618421052632
tokyo,Kozushima Mura,1,9039.0,9039.0,0.05
tokyo,Kunitachi Shi,3,3981.0,3981.0,0.3333333333333333
tokyo,Machida Shi,24,4756.875,4304.0,0.9133333333333334
tokyo,Meguro Ku,84,13705.047619047618,10652.5,2.2215476190476187
tokyo,Minato Ku,551,15488.53720508167,12051.0,1.6491833030852996
tokyo,Mitaka Shi,13,12581.076923076924,6564.0,1.4023076923076925
tokyo,Miyake Mura,2,15010.5,15010.5,0.0
tokyo,Musashimurayama Shi,5,3271.0,3551.0,1.49
tokyo,Musashino Shi,18,8859.111111111111,8715.5,1.7016666666666669
tokyo,Nakano Ku,290,17621.76896551724,10975.0,2.3224827586206898
tokyo,Nerima Ku,62,6811.806451612903,5810.5,1.3120967741935483
tokyo,Niijima Mura,3,10007.0,10007.0,1.29
tokyo,Nishitokyo Shi,19,8636.368421052632,3981.0,1.3336842105263158
tokyo,Ogasawara Mura,6,6904.333333333333,6456.0,0.0833333333333333
tokyo,Okutama Machi,3,21412.666666666668,21951.0,1.99
tokyo,Ome Shi,7,6594.428571428572,3551.0,0.6942857142857142
tokyo,Oshima Machi,22,8529.772727272728,7962.0,0.4268181818181818
tokyo,Ota Ku,598,11029.53846153846,7962.0,1.520886287625418
tokyo,Setagaya Ku,305,11879.52786885246,8931.0,2.036360655737705
tokyo,Shibuya Ku,854,20269.76580796253,14365.0,2.397833723653396
tokyo,Shinagawa Ku,170,14235.041176470588,10007.0,1.9764705882352944
tokyo,Shinjuku Ku,1882,15822.026036131774,12051.0,2.1464665249734325
tokyo,Suginami Ku,299,11359.658862876257,7532.0,1.8603010033444816
tokyo,Sumida Ku,876,13614.052511415524,12051.0,1.9760045662100456
tokyo,Tachikawa Shi,6,9307.333333333334,7962.0,0.5133333333333333
tokyo,Taito Ku,1670,15229.270658682635,10007.0,1.9098622754491017
tokyo,Tama Shi,4,5676.0,4734.5,1.45
tokyo,Toshima Ku,1228,14426.180781758958,10007.0,2.0271498371335506
