neighbourhood,listings,price_mean,price_median,reviews_mean
Allerton,42,87.5952380952381,66.5,1.6157142857142857
Arden Heights,4,67.25,72.5,1.04
Arrochar,21,115.0,65.0,1.060952380952381
Arverne,77,171.7792207792208,125.0,1.5154545454545454
Astoria,900,117.18777777777778,85.0,1.001411111111111
Bath Beach,17,81.76470588235294,69.0,1.4217647058823528
Battery Park City,70,367.5571428571429,195.0,0.3474285714285714
Bay Ridge,141,144.43262411347519,85.0,1.2803546099290781
Bay Terrace,6,142.0,141.5,0.9366666666666666
"Bay Terrace, Staten Island",2,102.5,102.5,0.45499999999999996
Baychester,7,75.42857142857143,75.0,1.8914285714285715
Bayside,39,157.94871794871796,65.0,1.8320512820512822
Bayswater,17,87.47058823529412,70.0,1.2723529411764707
Bedford-Stuyvesant,3710,107.79433962264152,80.0,1.310369272237197
Belle Harbor,8,171.5,155.0,1.0275
Bellerose,14,99.35714285714286,85.0,0.47285714285714286
Belmont,24,77.125,52.5,1.5733333333333333
Bensonhurst,75,75.78666666666666,75.0,1.2878666666666667
Bergen Beach,10,106.7,96.0,1.4940000000000002
Boerum Hill,177,176.135593220339,150.0,0.8358757062146892
Borough Park,136,63.06617647058823,53.5,1.0553676470588236
Breezy Point,3,213.33333333333334,195.0,0.14666666666666664
Briarwood,56,105.875,71.5,1.3524999999999998
Brighton Beach,75,131.93333333333334,85.0,1.3454666666666666
Bronxdale,19,57.10526315789474,50.0,1.6142105263157895
Brooklyn Heights,154,209.06493506493507,150.0,0.7174675324675325
Brownsville,61,76.45901639344262,62.0,1.5006557377049181
Bull's Head,6,47.333333333333336,45.0,1.2116666666666667
Bushwick,2462,84.90373679935013,65.0,1.0688180341186027
Cambria Heights,26,81.73076923076923,60.0,1.2661538461538462
Canarsie,147,104.36734693877551,85.0,1.9713605442176871
Carroll Gardens,233,175.91416309012877,150.0,0.9166952789699571
Castle Hill,9,63.0,39.0,0.6166666666666667
Castleton Corners,4,139.75,107.5,0.965
Chelsea,1113,249.73854447439354,199.0,0.9334141958670261
Chinatown,368,161.49728260869566,129.0,1.194320652173913
City Island,18,173.0,97.5,1.7077777777777778
Civic Center,52,191.94230769230768,169.0,0.4475
Claremont Village,28,87.46428571428571,68.5,1.0989285714285715
Clason Point,21,112.76190476190476,80.0,1.3738095238095238
Clifton,15,84.93333333333334,75.0,1.7046666666666668
Clinton Hill,572,181.89335664335664,120.0,0.8164335664335665
Co-op City,2,77.5,77.5,0.245
Cobble Hill,99,211.92929292929293,156.0,1.071010101010101
College Point,19,88.0,60.0,1.8778947368421053
Columbia St,42,162.95238095238096,132.5,0.840952380952381
Concord,26,58.19230769230769,34.5,1.396153846153846
Concourse,50,86.18,81.0,1.472
Concourse Village,32,73.78125,65.0,1.05
Coney Island,17,123.70588235294117,100.0,0.9570588235294117
Corona,64,59.171875,40.0,1.84984375
Crown Heights,1564,112.480179028133,85.0,0.9979667519181585
Cypress Hills,135,128.9037037037037,68.0,1.8557777777777777
DUMBO,36,196.30555555555554,189.0,0.9180555555555555
Ditmars Steinway,309,95.02912621359224,79.0,1.2070226537216828
Dongan Hills,7,79.42857142857143,70.0,2.0685714285714285
Douglaston,8,82.75,65.0,1.20875
Downtown Brooklyn,83,150.34939759036143,135.0,0.6544578313253012
Dyker Heights,12,93.41666666666667,82.5,1.5733333333333333
East Elmhurst,185,81.18378378378378,60.0,4.458
East Flatbush,500,104.222,75.0,1.45418
East Harlem,1117,133.1987466427932,99.0,1.413661593554163
East Morrisania,9,94.44444444444444,75.0,2.6244444444444444
East New York,218,85.42660550458716,75.0,1.7491743119266054
East Village,1853,186.0831084727469,150.0,0.9003777657852132
Eastchester,13,141.69230769230768,75.0,0.35076923076923083
Edenwald,13,82.0,75.0,1.2999999999999998
Edgemere,11,94.72727272727273,65.0,0.950909090909091
Elmhurst,237,80.45991561181435,59.0,1.3455274261603376
Eltingville,3,141.66666666666666,70.0,1.6466666666666665
Emerson Hill,5,68.2,78.0,1.1199999999999999
Far Rockaway,29,165.86206896551724,63.0,1.0041379310344827
