id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city,price_outlier_iqr,price_log,price_zscore,price_outlier_z
27298884,Albert Lodge,41147442,Menchie,,Bankstown,-33.94177840162175,151.01556273787696,private room,75,3,1,,0.0,1,365,sydney,False,4.31748811353631,-0.7779452387251911,False
27300604,Split level terrace for 4 with 2 balconies & view,158105565,Gabrielle,,Sydney,-33.88887778436486,151.21210281602038,entire home/apt,90,1,15,2018-11-29,4.29,2,137,sydney,False,4.499809670330265,-0.5519865053638079,False
27311621,"City Luxury Pyrmont,  3 bedrooms with water views",88800829,Karen,,Sydney,-33.86373003969395,151.19226804074827,entire home/apt,379,3,7,2018-11-10,2.19,14,259,sydney,False,5.937536205082426,1.2298481412094842,False
27312441,Prairiewood House,74277474,Francisco,,Fairfield,-33.859311200637606,150.90498347263602,private room,84,7,0,,0.0,1,358,sydney,False,4.430816798843313,-0.6374922575430433,False
27313162,Herber Garden,201740596,Grace Kwai Sim,,Sydney,-33.87916499527129,151.19831390388643,private room,400,1,8,2018-11-17,2.16,1,74,sydney,False,5.991464547107982,1.2966837917526897,False
27314026,Treetop Getaway with Water Views - Cottage Point,205795435,Carol,,Warringah,-33.62065241931922,151.20316469699543,entire home/apt,202,2,12,2018-12-01,3.71,1,159,sydney,False,5.308267697401205,0.4499693521064119,False
27314313,Self Contained Private Courtyard Terrace,55495274,Graeme,,Leichhardt,-33.8553770693709,151.17382143258578,entire home/apt,78,1,14,2018-10-29,5.25,2,6,sydney,False,4.356708826689592,-0.7293373679857971,False
27315724,★Luxury★ 3 bedroom Apartment @ Sydney Olympic park,200757777,Sarah,,Auburn,-33.847507480920065,151.07389900401543,entire home/apt,234,1,34,2018-12-05,8.29,1,136,sydney,False,5.455321115357702,0.6322188054470482,False
27316151,Near New Apartment Close to Sydney CBD,166917869,Calvin,,Randwick,-33.92236850069584,151.22685771225684,entire home/apt,100,3,0,,0.0,11,44,sydney,False,4.605170185988092,-0.4214088102026723,False
27316170,Spectacular View Apartment Near Sydney CBD,166917869,Calvin,,Randwick,-33.92147805227954,151.22668572248548,entire home/apt,100,2,1,2018-08-05,0.24,11,0,sydney,False,4.605170185988092,-0.4214088102026723,False
27316195,Renovated 1880's Terrace with 180° water views,55495274,Graeme,,Leichhardt,-33.85335218332352,151.1750727152899,entire home/apt,500,7,0,,0.0,2,112,sydney,True,6.214608098422191,1.5732349308464704,False
27316226,3 Bedroom Apartment in Heart of Eastern Suburb,166917869,Calvin,,Randwick,-33.92140643358376,151.22577684564186,entire home/apt,120,2,2,2018-08-18,0.48,11,0,sydney,False,4.787491742782046,-0.19545007684129018,False
27316640,High Level View Apartment Near Sydney CBD,166917869,Calvin,,Randwick,-33.92258982566347,151.22791875678487,entire home/apt,109,2,3,2018-10-06,1.22,11,0,sydney,False,4.6913478822291435,-0.314605185721578,False
27316744,Stylish Holiday Apartment in Parramatta CBD,107066769,Cy,,Parramatta,-33.8212423645267,151.0220433434868,entire home/apt,168,1,10,2018-11-16,2.68,11,170,sydney,False,5.123963979403259,0.22155404343463828,False
27317018,Room available airportsider,11199669,Icaro,,Rockdale,-33.93275331400161,151.15272224998617,private room,48,1,0,,0.0,1,0,sydney,False,3.871201010907891,-1.3310475169127518,False
27317117,Beautiful Avalon Studio Retreat,1428325,James,,Pittwater,-33.63728421948371,151.3233215462507,private room,251,1,7,2018-11-17,2.33,2,142,sydney,False,5.5254529391317835,0.719136108847568,False
27317259,Carramar Cozy Home,181584188,Ken,,Fairfield,-33.88150404195917,150.95933588671474,entire home/apt,138,2,2,2018-09-27,0.72,29,66,sydney,False,4.927253685157205,-0.022237254251653845,False
27317375,Bondi Junction Terrace - close to everything,154241085,Guy,,Waverley,-33.89147257534917,151.24470081446592,entire home/apt,700,7,0,,0.0,1,8,sydney,True,6.551080335043404,1.9902390511223986,False
27317827,Charming Federation Home in Glebe - Walk to CBD,724978,Jie,,Sydney,-33.88195739323282,151.17751181734073,private room,46,7,1,2018-09-26,0.41,1,17,sydney,False,3.828641396489095,-1.3837934276844992,False
27317940,Carramar private rm in grannyflat near station....,181584188,Ken,,Fairfield,-33.881079276364666,150.96072808885936,private room,39,1,5,2018-11-17,1.21,29,172,sydney,False,3.6635616461296463,-1.5883836689634785,False
27318378,Carramar private room in granny flat near station.,181584188,Ken,,Fairfield,-33.881252338401026,150.96008410082015,private room,39,1,1,2018-08-17,0.27,29,231,sydney,False,3.6635616461296463,-1.5883836689634785,False
27318587,Room available on Penkivil Street in Bondi,55088186,Marie,,Waverley,-33.89204484787241,151.26068303419638,private room,50,23,1,2018-09-08,0.33,1,0,sydney,False,3.912023005428146,-1.2804551111803544,False
27318651,Carramar private room in granny flat...,181584188,Ken,,Fairfield,-33.88333598230446,150.95884047282254,private room,29,1,2,2018-09-15,0.59,29,259,sydney,False,3.367295829986474,-1.9555582901721058,False
27319336,Narrabeen Lake Lodge,163227116,Gillian,,Warringah,-33.72186847939329,151.29187629220917,entire home/apt,65,1,17,2018-12-02,4.11,1,150,sydney,False,4.174387269895637,-0.9552961013471802,False
27319617,Spacious Retro City Apartment w/ 2 Queen Beds,107610853,Danniella,,Sydney,-33.89336462508713,151.2046482534495,entire home/apt,300,2,0,,0.0,3,1,sydney,False,5.703782474656201,0.9401473632301719,False
27320842,"Stylish Studio, Sleeps 4, Bondi Pizza Voucher",12196870,Mark,,Penrith,-33.765003812587324,150.792170568445,entire home/apt,69,1,16,2018-11-26,4.03,2,355,sydney,False,4.23410650459726,-0.8812835552293353,False
27320974,Great two bedroom fully contained apartment,36255001,Marcela,,Manly,-33.7926005405587,151.25793095148887,entire home/apt,120,5,0,,0.0,1,14,sydney,False,4.787491742782046,-0.19545007684129018,False
27321954,Coogee Escape with Ensuite,11054335,Sam,,Randwick,-33.91426002572889,151.2532915360851,private room,50,1,3,2018-08-21,0.79,1,0,sydney,False,3.912023005428146,-1.2804551111803544,False
27321968,Oceanfront in North Curl Curl,6244648,Brian And Melissa,,Warringah,-33.76292029438431,151.29986120393025,entire home/apt,999,7,0,,0.0,1,178,sydney,True,6.906754778648554,2.431041269901495,False
27322659,Home away from home for Christmas!,205871152,Kyra,,Sydney,-33.90139861089699,151.21429408276546,entire home/apt,96,21,0,,0.0,1,131,sydney,False,4.564348191467836,-0.4720012159350708,False
27323712,Grand views of Opera House and Harbour Bridge,205410565,Stephen,,Mosman,-33.84083067890927,151.23465897053853,entire home/apt,199,2,15,2018-11-15,3.6,4,40,sydney,False,5.293304824724492,0.4314252379767887,False
27324572,Luxurious private ensuite next to Ashfield station,205888515,Heng-Chuan,,Ashfield,-33.88770278001978,151.1228316930507,private room,79,1,8,2018-11-23,2.26,1,55,sydney,False,4.3694478524670215,-0.7135493603604613,False
27337877,Ryde House,77152282,Suzie,,Ryde,-33.80017489554353,151.10914862136391,private room,50,1,1,2018-08-05,0.24,2,220,sydney,False,3.912023005428146,-1.2804551111803544,False
27337981,Moore Park 2 Bedroom Apartment with Nature Views,205431023,Franca & Alessio,,Randwick,-33.90534902793911,151.21953213908398,entire home/apt,136,1,4,2018-09-19,1.05,6,147,sydney,False,4.912654885736052,-0.040330157163450044,False
27338432,Cozy Apartment in a excellent neighbourhood,85738258,Sebastian,,Sydney,-33.90385414599647,151.2132357155106,private room,60,1,0,,0.0,1,22,sydney,False,4.0943445622221,-1.0544963778189718,False
27338675,Private Twin Room in Charming Opera House Terrace,201447102,Marcus,,Sydney,-33.85915708116259,151.20395982526512,private room,68,2,11,2018-11-28,2.66,6,151,sydney,False,4.219507705176107,-0.8993764581411315,False
27339082,Beautiful room in the heart of Bondi Beach,37645429,Laëtitia,,Waverley,-33.89012991178178,151.27613634551122,private room,50,6,0,,0.0,1,159,sydney,False,3.912023005428146,-1.2804551111803544,False
27339452,Chic Potts Point Apt in Prime Loc. w/carpark/pool,11984140,Emma,,Sydney,-33.873621080599115,151.22383137844335,entire home/apt,180,5,1,2018-11-17,1.0,1,65,sydney,False,5.19295685089021,0.3070597956138736,False
